iter	Passed	Remaining
181	528	2374
182	531	2373
183	534	2371
184	538	2370
185	540	2366
186	543	2361
187	546	2358
188	548	2355
189	551	2353
190	554	2348
191	556	2342
192	559	2340
193	562	2335
194	564	2332
195	567	2329
196	570	2324
197	573	2321
198	575	2316
199	578	2314
200	581	2312
201	584	2308
202	586	2303
203	589	2299
204	592	2297
205	594	2292
206	598	2291
207	600	2288
208	603	2284
209	606	2281
210	609	2278
211	612	2275
212	615	2273
213	618	2270
214	621	2268
215	624	2265
216	627	2263
217	630	2261
218	633	2258
219	636	2256
220	639	2253
221	641	2249
222	645	2247
223	648	2246
224	651	2242
225	654	2240
226	657	2237
227	660	2236
228	663	2233
229	666	2231
230	669	2227
231	672	2225
232	675	2222
233	678	2222
234	681	2218
235	684	2215
236	686	2211
237	689	2206
238	693	2206
239	695	2203
240	698	2199
241	701	2196
242	703	2193
243	707	2192
244	710	2190
245	713	2186
246	715	2182
247	718	2179
248	721	2175
249	724	2172
250	727	2169
251	730	2167
252	733	2165
253	736	2162
254	739	2160
255	742	2157
256	745	2153
257	748	2152
258	750	2148
259	753	2145
260	756	2142
261	759	2140
262	762	2137
263	765	2133
264	767	2129
265	770	2125
266	773	2122
267	775	2118
268	778	2115
269	780	2110
270	783	2106
271	785	2103
272	788	2101
273	791	2097
274	794	2093
275	796	2089
276	799	2085
277	801	2082
278	804	2079
279	807	2076
280	809	2072
281	812	2068
282	814	2064
283	817	2060
284	820	2058
285	823	2055
286	825	2051
287	828	2047
288	830	2043
289	833	2039
290	836	2037
291	838	2034
292	841	2030
293	843	2026
294	847	2024
295	849	2021
296	852	2018
297	855	2016
298	858	2012
299	862	2011
300	867	2014
301	875	2023
302	882	2029
303	891	2039
304	898	2046
305	905	2053
306	912	2060
307	921	2070
308	928	2076
309	936	2083
310	942	2088
311	949	2094
312	956	2099
313	970	2119
314	976	2123
315	984	2130
316	989	2131
317	994	2132
318	999	2134
319	1005	2137
320	1008	2134
321	1012	2131
322	1015	2127
323	1019	2127
324	1023	2125
325	1025	2121
326	1028	2117
327	1031	2113
328	1034	2109
329	1036	2104
330	1039	2100
331	1042	2096
332	1044	2092
333	1047	2088
334	1050	2084
335	1052	2080
336	1056	2077
337	1059	2074
338	1062	2071
339	1064	2066
340	1066	2061
341	1069	2057
342	1072	2053
343	1075	2050
344	1078	2047
345	1081	2044
346	1084	2040
347	1086	2035
348	1088	2030
349	1091	2027
350	1094	2023
351	1096	2018
352	1098	2013
353	1100	2008
354	1103	2004
355	1106	2001
356	1109	1997
357	1111	1993
358	1114	1989
359	1116	1984
360	1118	1980
361	1121	1975
362	1124	1973
363	1126	1969
364	1129	1964
365	1131	1960
366	1133	1955
367	1136	1951
368	1138	1947
369	1141	1943
370	1143	1939
371	1146	1934
372	1148	1930
373	1150	1924
374	1152	1920
375	1155	1917
376	1157	1913
377	1160	1909
378	1162	1904
379	1164	1900
380	1167	1896
381	1169	1892
382	1172	1888
383	1175	1885
384	1177	1880
385	1179	1876
386	1182	1872
387	1184	1868
388	1186	1864
389	1189	1860
390	1192	1857
391	1194	1852
392	1197	1849
393	1199	1845
394	1202	1841
395	1205	1838
396	1207	1834
397	1209	1829
398	1213	1827
399	1215	1823
400	1218	1820
401	1221	1816
402	1223	1812
403	1225	1808
404	1228	1804
405	1230	1800
406	1232	1796
407	1235	1793
408	1238	1789
409	1240	1785
410	1242	1780
411	1244	1776
412	1247	1772
413	1249	1768
414	1253	1766
415	1255	1762
416	1258	1759
417	1260	1755
418	1263	1751
419	1265	1748
420	1268	1744
421	1271	1741
422	1273	1737
423	1276	1733
424	1278	1729
425	1280	1725
426	1283	1721
427	1285	1718
428	1288	1714
429	1290	1710
430	1292	1706
431	1295	1702
432	1297	1699
433	1300	1695
434	1302	1692
435	1305	1688
436	1307	1684
437	1310	1681
438	1312	1677
439	1314	1673
440	1317	1670
441	1320	1666
442	1322	1662
443	1324	1659
444	1327	1655
445	1329	1651
446	1332	1648
447	1334	1644
448	1337	1640
449	1339	1637
450	1341	1633
451	1344	1629
452	1346	1625
453	1349	1622
454	1351	1619
455	1354	1615
456	1356	1611
457	1358	1607
458	1360	1604
459	1363	1600
460	1366	1597
461	1369	1594
462	1371	1590
463	1373	1587
464	1376	1583
465	1378	1579
466	1381	1576
467	1383	1572
468	1385	1568
469	1388	1565
470	1390	1561
471	1392	1557
472	1395	1554
473	1397	1551
474	1400	1547
475	1402	1543
476	1405	1540
477	1407	1536
478	1409	1533
479	1412	1529
480	1414	1526
481	1417	1522
482	1419	1519
483	1421	1515
484	1423	1512
485	1426	1508
486	1429	1505
487	1431	1501
488	1433	1498
489	1436	1494
490	1439	1491
491	1441	1488
492	1445	1486
493	1447	1483
494	1450	1479
495	1452	1476
496	1455	1472
497	1457	1469
498	1460	1465
499	1463	1463
500	1465	1459
501	1468	1456
502	1470	1453
503	1473	1449
504	1475	1446
505	1478	1443
506	1481	1440
507	1483	1437
508	1486	1433
509	1488	1430
510	1490	1426
511	1493	1423
512	1496	1420
513	1498	1417
514	1501	1413
515	1503	1410
516	1505	1406
517	1508	1403
518	1510	1400
519	1513	1396
520	1515	1393
521	1517	1389
522	1520	1386
523	1522	1383
524	1525	1380
525	1527	1376
526	1530	1373
527	1532	1370
528	1534	1366
529	1537	1363
530	1539	1359
531	1542	1357
532	1545	1353
533	1547	1350
534	1549	1347
535	1552	1343
536	1554	1340
537	1557	1337
538	1559	1333
539	1561	1330
540	1564	1327
541	1566	1323
542	1568	1320
543	1571	1316
544	1574	1314
545	1576	1311
546	1579	1307
547	1581	1304
548	1583	1301
549	1586	1297
550	1589	1295
551	1592	1292
552	1594	1289
553	1596	1285
554	1599	1282
555	1601	1278
556	1604	1275
557	1606	1272
558	1609	1269
559	1611	1266
560	1613	1262
561	1615	1259
562	1617	1255
563	1620	1252
564	1622	1249
565	1625	1246
566	1627	1242
567	1629	1239
568	1632	1236
569	1634	1233
570	1637	1230
571	1639	1227
572	1641	1223
573	1644	1220
574	1646	1216
575	1648	1213
576	1651	1210
577	1654	1207
578	1656	1204
579	1659	1201
580	1661	1198
581	1664	1195
582	1666	1191
583	1669	1189
584	1672	1186
585	1674	1183
586	1677	1180
587	1679	1176
588	1682	1173
589	1684	1170
590	1687	1167
591	1689	1164
592	1692	1161
593	1695	1158
594	1698	1155
595	1701	1153
596	1704	1150
597	1707	1147
598	1710	1145
599	1715	1143
600	1719	1141
601	1722	1138
602	1725	1136
603	1728	1133
604	1730	1130
605	1734	1127
606	1737	1124
607	1740	1121
608	1742	1118
609	1745	1115
610	1747	1112
611	1750	1109
612	1753	1107
613	1756	1104
614	1758	1100
615	1760	1097
616	1762	1094
617	1765	1091
618	1768	1088
619	1771	1085
620	1773	1082
621	1776	1079
622	1778	1076
623	1780	1073
624	1783	1070
625	1786	1067
626	1788	1064
627	1790	1060
628	1793	1057
629	1795	1054
630	1798	1051
631	1800	1048
632	1803	1045
633	1805	1042
634	1807	1039
635	1810	1036
636	1812	1033
637	1815	1030
638	1817	1026
639	1819	1023
640	1821	1020
641	1824	1017
642	1826	1014
643	1829	1011
644	1831	1008
645	1833	1004
646	1836	1001
647	1838	998
648	1841	995
649	1844	993
650	1846	990
651	1849	987
652	1851	983
653	1854	980
654	1856	977
655	1858	974
656	1861	971
657	1864	969
658	1866	966
659	1869	962
660	1871	959
661	1873	956
662	1876	953
663	1878	950
664	1881	947
665	1884	944
666	1886	941
667	1888	938
668	1890	935
669	1894	932
670	1896	930
671	1899	927
672	1901	923
673	1903	920
674	1905	917
675	1908	914
676	1911	911
677	1913	908
678	1915	905
679	1917	902
680	1920	899
681	1922	896
682	1925	893
683	1927	890
684	1930	887
685	1932	884
686	1934	881
687	1936	878
688	1939	875
689	1942	872
690	1944	869
691	1946	866
692	1949	863
693	1951	860
694	1954	857
695	1958	855
696	1961	852
697	1964	850
698	1967	847
699	1970	844
700	1973	841
701	1976	838
702	1979	836
703	1981	833
704	1984	830
705	1987	827
706	1990	824
707	1993	822
708	1996	819
709	1998	816
710	2001	813
711	2004	810
712	2007	808
713	2011	805
714	2013	802
715	2016	799
716	2018	796
717	2021	794
718	2024	791
719	2026	788
720	2028	785
721	2031	782
722	2033	779
723	2036	776
724	2039	773
725	2041	770
726	2043	767
727	2045	764
728	2048	761
729	2051	758
730	2054	755
731	2056	752
732	2059	750
733	2061	747
734	2064	744
735	2067	741
736	2070	738
737	2073	736
738	2075	733
739	2078	730
740	2080	727
741	2083	724
742	2087	721
743	2089	719
744	2093	716
745	2095	713
746	2099	710
747	2102	708
748	2106	705
749	2109	703
750	2112	700
751	2116	697
752	2119	695
753	2122	692
754	2126	689
755	2128	687
756	2132	684
757	2134	681
758	2136	678
759	2139	675
760	2142	672
761	2144	669
762	2146	666
763	2153	665
764	2159	663
765	2164	661
766	2169	659
767	2176	657
768	2182	655
769	2189	654
770	2196	652
771	2203	650
772	2208	648
773	2212	646
774	2216	643
775	2224	642
776	2231	640
777	2239	638
778	2244	636
779	2249	634
780	2255	632
781	2260	630
782	2264	627
783	2269	625
784	2274	622
785	2278	620
786	2283	617
787	2288	615
788	2292	613
789	2295	610
790	2300	607
791	2304	605
792	2307	602
793	2310	599
794	2315	597
795	2320	594
796	2323	591
797	2328	589
798	2333	587
799	2337	584
800	2342	582
801	2348	579
802	2354	577
803	2358	574
804	2363	572
805	2367	569
806	2371	567
807	2375	564
808	2379	561
809	2383	558
810	2385	556
811	2388	553
812	2391	550
813	2394	547
814	2397	544
815	2399	541
816	2401	537
817	2403	534
818	2405	531
819	2408	528
820	2411	525
821	2413	522
822	2415	519
823	2417	516
824	2419	513
825	2421	510
826	2424	507
827	2427	504
828	2429	501
829	2431	498
830	2433	494
831	2436	491
832	2438	488
833	2440	485
834	2443	482
835	2445	479
836	2448	476
837	2450	473
838	2452	470
839	2455	467
840	2457	464
841	2460	461
842	2462	458
843	2465	455
844	2467	452
845	2469	449
846	2471	446
847	2474	443
848	2477	440
849	2479	437
850	2481	434
851	2483	431
852	2485	428
853	2488	425
854	2491	422
855	2493	419
856	2496	416
857	2498	413
858	2500	410
859	2502	407
860	2505	404
861	2507	401
862	2510	398
863	2512	395
864	2514	392
865	2516	389
866	2518	386
867	2521	383
868	2524	380
869	2526	377
870	2528	374
871	2531	371
872	2533	368
873	2535	365
874	2538	362
875	2540	359
876	2542	356
877	2544	353
878	2546	350
879	2548	347
880	2550	344
881	2553	341
882	2556	338
883	2559	335
884	2562	333
885	2565	330
886	2567	327
887	2570	324
888	2573	321
889	2576	318
890	2578	315
891	2581	312
892	2583	309
893	2586	306
894	2590	303
895	2593	301
896	2596	298
897	2598	295
898	2602	292
899	2605	289
900	2608	286
901	2611	283
902	2614	280
903	2617	277
904	2620	275
905	2623	272
906	2626	269
907	2628	266
908	2631	263
909	2633	260
910	2636	257
911	2639	254
912	2642	251
913	2644	248
914	2646	245
915	2649	242
916	2652	240
917	2654	237
918	2657	234
919	2659	231
920	2661	228
921	2664	225
922	2666	222
923	2669	219
924	2672	216
925	2674	213
926	2676	210
927	2678	207
928	2681	204
929	2684	202
930	2686	199
931	2688	196
932	2690	193
933	2692	190
934	2694	187
935	2697	184
936	2699	181
937	2701	178
938	2704	175
939	2706	172
940	2708	169
941	2710	166
942	2713	164
943	2715	161
944	2718	158
945	2721	155
946	2723	152
947	2726	149
948	2728	146
949	2731	143
950	2734	140
951	2736	137
952	2738	135
953	2741	132
954	2743	129
955	2746	126
956	2749	123
957	2751	120
958	2753	117
959	2755	114
960	2757	111
961	2759	109
962	2762	106
963	2764	103
964	2767	100
965	2769	97
966	2771	94
967	2774	91
968	2776	88
969	2779	85
970	2781	83
971	2783	80
972	2786	77
973	2788	74
974	2790	71
975	2793	68
976	2795	65
977	2798	62
978	2800	60
979	2802	57
980	2805	54
981	2807	51
982	2810	48
983	2813	45
984	2816	42
985	2818	40
986	2821	37
987	2823	34
988	2826	31
989	2829	28
990	2831	25
991	2833	22
992	2836	19
993	2838	17
994	2840	14
995	2843	11
996	2845	8
997	2847	5
998	2850	2
999	2852	0
