iter	Logloss
0	0.6555778776
1	0.6185478072
2	0.5758632559
3	0.5445129527
4	0.5145607032
5	0.4859827789
6	0.4588814463
7	0.4333191592
8	0.4073540871
9	0.3841180761
10	0.368545247
11	0.3493628457
12	0.3322807983
13	0.315007149
14	0.3010666529
15	0.2851589206
16	0.2707518102
17	0.2578135101
18	0.2444921807
19	0.2326861393
20	0.2214132662
21	0.210893837
22	0.201803099
23	0.1926453541
24	0.1834488084
25	0.1746870063
26	0.1663234968
27	0.1587220801
28	0.1512894917
29	0.1444790545
30	0.1379891658
31	0.1319051995
32	0.1264990793
33	0.1204642507
34	0.1160552877
35	0.1112362827
36	0.106588723
37	0.1026920631
38	0.09943034642
39	0.09609433591
40	0.09298531819
41	0.09008273607
42	0.08733278271
43	0.08433649063
44	0.08154259315
45	0.07933573059
46	0.07714123808
47	0.07525453217
48	0.07307361682
49	0.07120397925
50	0.06911244775
51	0.06705387255
52	0.0649594955
53	0.06345886438
54	0.0618587013
55	0.05997981667
56	0.05851177645
57	0.05677051933
58	0.05523936914
59	0.05355207993
60	0.05250783942
61	0.05129511728
62	0.05059592385
63	0.04984531925
64	0.04882331195
65	0.04764603233
66	0.04642564313
67	0.04574658673
68	0.04517392192
69	0.04414048079
70	0.04312197997
71	0.04225315485
72	0.04129932644
73	0.0407999475
74	0.04031329416
75	0.03939669464
76	0.03874164882
77	0.03830878292
78	0.03754763651
79	0.03682826958
80	0.03644896159
81	0.03614812317
82	0.03572223305
83	0.03542939221
84	0.03462717877
85	0.03421872452
86	0.03388010827
87	0.03355077555
88	0.03310656279
89	0.03274365009
90	0.03235317818
91	0.03210301812
92	0.03161747302
93	0.03146846293
94	0.03115238244
95	0.03101894622
96	0.03094156163
97	0.03075012987
98	0.03050189265
99	0.0303088496
100	0.03012349148
101	0.03006734091
102	0.0299322137
103	0.02989523814
104	0.02950354832
105	0.0293625447
106	0.02899929156
107	0.02858695558
108	0.02826960025
109	0.02800959816
110	0.02768046803
111	0.02718228222
112	0.02711057915
113	0.02676922791
114	0.02637389463
115	0.02629079933
116	0.02627032711
117	0.02605931372
118	0.02595449455
119	0.02574881766
120	0.0257171345
121	0.02563006137
122	0.02557220705
123	0.02546180124
124	0.02540818186
125	0.02509522367
126	0.02499278623
127	0.02483969177
128	0.02476569764
129	0.02469347709
130	0.02463990721
131	0.02449047649
132	0.02443768668
133	0.0242784526
134	0.02425805398
135	0.02404385237
136	0.02393164943
137	0.02359700574
138	0.02337780424
139	0.02327613694
140	0.02285623811
141	0.02284101893
142	0.02276379857
143	0.0226779135
144	0.02254023409
